Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
 Lunch,949,38.05,3.97,112.04,,11.97,38.06,,,
  Мегамарт Фарш Куриный,233,16.9,,9.1,,,11.7,,,
   130 g
  Шебекинские Макароны Вареные,221,0.65,,45.76,,,6.76,,,
   130 g
  Дядя Ваня Горох Консервированный ,38,0,,6.5,,,3.1,,,
"   100г, 100 g"
  Schogetten Шоколад,82,4.95,3.15,8.55,,8.55,0.81,,,
   15 g
  Amro Кешью,97,8.1,,1.95,,,3.75,,,
   15 g
  Монастырский Двор Сыр,49,3.7,,0,,0,3.82,,,
   15 g
  Наш Лидер Финики,72,0.05,,17,,,0.82,,,
"   1/4 x 100г, 25 g"
  Fine Life Манго Сушеное,68,0.2,,16.4,,,0.3,,,
   20 g
  Starfit Орех,89,3.5,0.82,6.78,,3.42,7,,,
"   1/4 x 100г, 25 g"
 Dinner,367,28.05,0.75,16.17,,,13.12,,,
  Кухня на Районе Солянка,293,24,,11,,,9,,,
"   1 порция, 350 g"
  Ремит Хлебцы Фитнес ,55,3.3,,5.17,,,1,,,
   15 g
  Два Капитана Форель Слабосоленая,19,0.75,0.75,0,,,3.12,,,
   15 g
 Snacks/Other,135,1.9,,11.5,,,18.15,,,
  Родной Дом Творог,101,1.8,,3.3,,,18,,,
"   100г, 100 g"
  Fine Life Манго Сушеное,34,0.1,,8.2,,,0.15,,,
   10 g

"Monday, May 31, 2021",1799,79.85,8.85,152.21,2,19.95,113.78,,,
 Breakfast,712,31.26,1.5,58.09,2,,42.23,,,
  Окское Яйцо,330,24.15,,1.47,,,26.67,,,
"   3 x 1 штука, 210 g"
  Два Капитана Форель Слабосоленая,38,1.5,1.5,0,,,6.24,,,
   30 g
  Фитнеслайн Хлебцы Цельнозерновые,58,0.46,,11.42,2,,2.02,,,
   20 g
  Виктория Блины с Вишней,243,5,,35,,,7,,,
"   100г, 100 g"
  ВкусВилл Банан Сушёный,43,0.15,,10.2,,,0.3,,,
   15 g
 Lunch,561,18.51,3.15,64.14,,8.55,36.45,,,
  Мираторг Гавайская Смесь,160,2.16,,29.04,,,7.44,,,
   120 g
  Умное Решение Индейка Филе,120,3,,0,,,24,,,
   120 g
  Schogetten Шоколад,82,4.95,3.15,8.55,,8.55,0.81,,,
   15 g
  Amro Кешью,97,8.1,,1.95,,,3.75,,,
   15 g
  Fine Life Манго Сушеное,102,0.3,,24.6,,,0.45,,,
   30 g
 Dinner,421,23.08,4.2,27.38,,11.4,27.1,,,
  Умное Решение Индейка Филе,100,2.5,,0,,,20,,,
"   100г, 100 g"
  Ашан Помидор,40,0.4,,8.4,,,1.2,,,
"   2 x 100г, 200 g"
  Ашан Огурец,30,0.2,,5.6,,,1.6,,,
"   2 x 100г, 200 g"
  Schogetten Шоколад,110,6.6,4.2,11.4,,11.4,1.08,,,
   20 g
  Фундук Фундук,141,13.38,,1.98,,,3.22,,,
   20 g
 Snacks/Other,105,7,,2.6,,,8,,,
  Lactica Творожное Зерно в Сливках,105,7,,2.6,,,8,,,
"   100г, 100 g"

Total,33567,1410.24,53.47,3800.46,38.87,460.78,1444.29,1224.85,,3830.6
